,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
41,False,False,-1,42,GÜRKE Elouan,C2S,CJ
42,False,False,-1,43,VIGNON Paul-Eliott,UC Pontcharra,CJ
43,False,False,-1,44,BARBIER Frederic,,M2
44,False,False,-1,45,GENIN Valentin,,M1
45,False,False,-1,46,DE FLAUGERGUES François,Sud Grésivaudan Cyclisme Compétition,M4
46,False,False,-1,47,GRESANT Sebastien,GMC38-EF,M3
47,False,False,-1,48,LABERNIA Alexis,ESCOUADE ARVERNE,SH
48,False,False,-1,49,BERNARD-PEYRE Simon,C2S,CJ
49,False,False,-1,50,FOULON Camille,,CJ
50,False,False,-1,51,GEFFROY Maxime,ESSM,CJ
51,False,False,0,52,AGUD THIERRY,ALPIN'S WHEEL TEAM,U2
52,False,False,-1,53,SALVI Lucas,,M1
53,False,False,56,54,LORIGEON FABIEN,LA TRONCHE VELO SPORT,U2
54,False,False,-1,55,BRUNEEL Elliot,,SH
55,False,False,-1,56,PAILLARD Valère,C2S,CJ
56,False,False,-1,57,WOOD Simon,VFVB,M4
57,False,False,-1,58,DELACOUX Martin,,M1
58,False,False,-1,59,FRANÇAIS Louis,C2S,CJ
59,False,False,-1,60,DUSSAUT Eric,GMC38-EF,M3
60,False,False,-1,61,LUXEMBOURG David,,M2
61,False,False,-1,62,GONDREXON Maxime,UC Voiron,SH
62,False,False,71,63,CHERY PAUL,LE FONTANIL CYCLISME,U3
63,False,False,72,64,DELETROY AXEL,LE FONTANIL CYCLISME,U3
64,False,False,-1,65,FAVRE-VERAND Joël,UC Voiron,M3
65,False,False,-1,66,BLANC Alix,,SH
66,False,False,-1,67,MILIN Loic,,M1
67,False,False,51,68,CHEVIGNON FRANCK,LA TRONCHE VELO SPORT,U2
68,False,False,-1,69,CHAPUIS Valentin,GMC38-EF,SH
69,False,False,-1,70,ARNOLD Thierry,,M4
70,False,False,-1,71,VERDOL Philippe,,M3
71,False,False,-1,72,VIOLLET Antoine,Team SQR,SH
72,False,False,-1,73,GATEAUX Mathieu,non licencié,CJ
73,False,False,-1,74,MIRIBEL Arnaud,GUC Triathlon,M1
74,False,False,154,75,RIPPERT VALENTIN,UC PONTCHARRA GRESIVAUDAN,U2
75,False,False,-1,76,BROUSSET Tristan,,M1
76,False,False,110,77,COLOTTI JULIEN,TEAM 3 MASSIFS,U2
77,False,False,-1,78,LIENART David,,M1
78,False,False,-1,79,CHASSINE Thierry,,M2
79,False,False,14,80,LEONE MATTHIEU,CYCLO CLUB DE GIERES,U3
80,False,False,-1,81,DELORME Félix,,SH
81,False,False,11,82,GAILLARD RICHARD,CYCLO CLUB DE GIERES,U3
82,False,False,-1,83,CAVIGNAUX Alexandre,ASPES,M2
83,False,False,-1,84,CLAPOT Antoine,,M1
84,False,False,139,85,BUISSON GREGORY,UC PONTCHARRA GRESIVAUDAN,U4
85,False,False,23,86,RAMOUSSE CHRISTOPHE,CYCLO CLUB DE GIERES,U3
86,False,False,-1,87,LORENZO Philippe,CC Gières,M4
87,False,False,-1,88,SIMON Basile,,SH
88,False,False,-1,89,PIASER Mélanie,Hexagone,F
89,False,False,-1,90,PATROUILLAULT Sylvain,,M2
90,False,True,3,91,HERTAULT AGNES,ALPIN'S WHEEL TEAM,U4
91,False,False,-1,92,CHARVIN René,Saint Michel Sport Cyclo,M4
92,False,False,97,93,GUILLERMIN ROLAND,UC RIVES,U4
93,False,False,-1,94,RAT Louis,Sud Grésivaudan Cyclisme Compétition,CJ
94,False,False,-1,95,BERNARD-PEYRE Thomas,C2S,M2
95,False,False,-1,96,TREMERI Romain,,SH
96,False,True,92,97,VALERO ANGELIQUE,LE FONTANIL CYCLISME,U3
97,False,False,42,98,VIAL JACQUES,SCAL ECHIROLLES,U4
98,False,False,47,99,GATEAUX DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,U3
99,False,False,-1,100,BLOCH Noam,,SH
100,False,True,120,101,MOREL JEROMINE,TEAM 3 MASSIFS,U3
101,False,False,162,102,QUERNIARD PIERRE,UC VOIRONNAISE,M4
102,False,False,-1,103,GONTIER Pierre,,M1
103,False,False,-1,104,SOGNO Martin,AC Aurelien,SH
104,False,False,-1,105,MATUSALEM Camille,,F
105,False,False,19,106,MICAS TITOUAN,CYCLO CLUB DE GIERES,U3
106,False,False,34,107,GIRARD GUY,SCAL ECHIROLLES,U4
107,False,False,-1,108,GRANGY Margot,,CJ
108,False,False,7,109,BESSARD JEAN LUC,CYCLO CLUB DE GIERES,U4
109,False,False,18,110,MEYSSONNIER BERNARD,CYCLO CLUB DE GIERES,U4
110,False,False,77,111,LA RIZZA SEBASTIEN,LE FONTANIL CYCLISME,U4
111,False,False,-1,112,GUILLOU Ronan,,SH
112,False,False,-1,113,PECOULT Christian,VC Islois,U4
113,False,False,-1,114,CAMILLA Delenne,AC Aurelien,F
